1931-0010,
1961-0052,
1969-0089,Roatan
1969-0089, Utila
1969-0089, Guanaja provinces
1971-0132,
1974-0047,Widespread
1978-0116,North Coast Gracias Dios
1982-0061,Choluteca
1988-0484,
1995-0117,Near Tegucigalpa
1996-0172,
1996-0502,
1998-0345,Coastal Area
2001-0603,Colon
2001-0603, Atlantida
2001-0603, Yoro
2001-0603, Cortes
2001-0603, Gracias a Dios
2001-0603, Islas de la Bahia
2005-0567,Sula valley
2005-0567, Potrerillos
2005-0567, San Manuel
2005-0585,Omoa municipality
2005-0625,Gracias a Dios
2005-0625, Atlandida
2005-0625, Colon
2005-0640,Atlantida
2005-0640, Colon
2005-0640, Cortes
2005-0640, Gracias a Dios
2005-0640, Yoro departments
2007-0439,Santa Barbara
2007-0439, Cortes
2007-0439, Choluteca
2007-0439, Valle
2007-0439, El Paraiso
2008-0234,Chocuteca department
2010-0211,Copan
2010-0211, Santa Barbara
2010-0211, Comayagua
2010-0211, Cortes
2010-0211, Yoro departments (Region 1); El Paraiso
2010-0211, Francisco Morazan
2010-0211, Choculeta
2010-0211, Valle and La Paz (Region 4); Lenca
2010-0211, Intibuca
2010-0211, Lempira
2010-0211, la Paz
2010-0211, Ocotepeque
2010-0211, Comayagua (Region 5)
2010-0503,El Paraiso
2010-0503, Atlantida
2010-0503, Isla de la Bahia
2010-0503, Colon
2010-0503, Yoro
2010-0503, Gracias a Dios
2010-0503, Comayagua
