1905-0004,Central
1912-0010,Cebu
1931-0008,West Luzon
1932-0003,Sulu
1934-0010,Manila
1934-0010, Bulcan
1934-0011,Samar
1934-0011, Tayabas
1936-0008,Luzon
1937-0007,Leyte
1937-0007, Mindoro
1938-0006,Samar
1938-0006, South Luzon
1940-0013,Cantanduanes
1940-0013, Bondoc
1946-0024,
1949-0014,Cebu City
1949-0014, Negros
1949-0014, Panay
1951-0011,Samar
1951-0011, South Luzon
1951-0021,Visayas
1951-0021, Bicol
1951-0024,Central
1952-0003,Central
1952-0008,Central
1955-0034,
1955-0048,
1956-0036,
1956-0052,
1957-0032,
1959-0049,
1960-0012,South Wet of Manilla
1960-0019,Luzon
1960-0020,South Luzon
1960-0028,Central
1960-0028, South Luzon
1960-0029,Luzon
1960-0053,
1962-0029,
1962-0032,
1963-0017,North Luzon
1964-0037,South
1964-0037, Central Luzon
1964-0065,North Mindanao
1964-0065, South Luzon
1965-0042,Cotabato
1965-0042, Luzon
1966-0091,Visayas
1966-0091, South Luzon
1967-0071,Samar Island
1967-0071, Visayas
1967-0071, Bicol
1967-0071, Southern Tagalog
1967-0071, Central Luzon
1968-0065,Luzon
1968-0083,South Visayas
1968-0083, Samar
1968-0083, Luzon
1969-0080,North
1970-0043,(1) Bulacan
1970-0043, Pampg (Manila) - (2) Aurora (Quezon province)
1970-0056,(1) Bicol area
1970-0056, (2) Mindanao
1970-0064,Manila (Quezon province)
1970-0076,
1970-0077,
1970-0078,
1970-0079,
1970-0080,
1971-0026,Visayas
1971-0026, Palawan
1971-0036,Central
1971-0054,Central
1971-0055,North Luzon
1972-0015,Visayan Islands
1972-0040,South Luzon
1972-0064,South
1972-0064, Misamis province
1973-0042,Northern Luzon
1973-0044,Central Luzon
1973-0049,(1) Central
1973-0049, (2) Capiz province
1974-0029,Luzon
1974-0038,Luzon
1974-0051,North Luzon
1974-0052,Luzon
1974-0054,Luzon
1974-0056,North Luzon
1974-0058,South Luzon
1975-0077,Mindanao
1976-0038,Luzon
1976-0038, Manila
1976-0086,
1976-0089,
1977-0086,Central
1977-0086, North
1977-0119,Northern
1977-0134,North Luzon
1977-0155,
1977-0157,
1978-0058,Central
1978-0124,Manila
1978-0126,Central Luzon
1978-0126, Manilla
1978-0158,
1978-0159,Luzon (including Manila)
1978-0160,
1978-0161,
1978-0162,
1978-0165,
1979-0040,Leyte
1979-0077,Northern
1979-0133,
1979-0134,
1979-0137,
1980-0067,Northern
1980-0070,Cagayan Valley (Northwestern)
1980-0099,North and Central Luzon
1980-0132,
1980-0133,
1980-0136,
1981-0060,Albay province
1981-0062,Oriental Mindoro
1981-0083,Northern Luzon
1981-0101,
1981-0112,Samar
1981-0112, Mindoro
1981-0112, Luzon
1981-0134,
1981-0136,
1981-0138,
1982-0037,S.E./N. Mindanao
1982-0038,Central province
1982-0093,West
1982-0101,C./S. Luzon
1982-0111,North Luzon
1982-0173,
1982-0174,
1982-0175,
1982-0176,Visayan Sea region
1983-0096,Southeast Luzon
1983-0219,
1983-0220,
1983-0254,Bohol
1984-0073,Northern Luzon
1984-0073, Pangasinan province
1984-0105,Capiz
1984-0105, Ilailo
1984-0105, Aklau
1984-0105, Antique
1984-0105, Leyte
1984-0105, Eastern Samar
1984-0105, Roxas
1984-0105, Tacloban
1984-0185,Surigao del Norte
1984-0185, Bohol Isl
1984-0185, Mindanao
1984-0185, Negros Occidental
1984-0185, Cebu provinces
1984-0186,
1985-0124,Aurora
1985-0124, Nueva Ecija
1985-0124, Tarlac
1985-0124, Bur Lacan provinces (Central Luzon)
1985-0190,Luzon
1985-0190, Ilocos Sur
1985-0190, Ilocos Norte
1985-0190, Benguet
1985-0190, Nueva Ecija
1985-0190, Bataan
1985-0190, Zambales
1985-0190, Vigan
1985-0190, Bantay
1985-0190, San Esteban
1985-0190, Laoag
1985-0190, Bagio city
1985-0190, Pampanga
1985-0192,
1986-0080,Ilocos
1986-0080, centra Luzon
1986-0080, Southern Tagalos
1986-0080, Metro Manilla
1986-0104,Pangasinan
1986-0104, Bataan
1986-0104, Bulacan
1986-0104, Pampanga
1986-0104, Benguet
1986-0104, Abra
1986-0104, Zambales
1986-0104, Metro Manila
1986-0122,Muntinlupa
1986-0122, Metro Manila
1986-0122, Bulacan
1986-0151,
1986-0152,
1986-0153,
1987-0146,Batangas
1987-0146, Laguna
1987-0146, Bicol
1987-0146, Mindoro
1987-0146, Cavite
1987-0146, Luzon
1987-0197,Cagayan
1987-0197, Ilocos Norte
1987-0197, Kalin-Aapayo province
