"index","associated_dis","associated_dis2","country_name","dis_subtype","dis_type","disaster_no","end_date","insur_dam","iso","location","start_date","total_affected","total_dam","total_deaths"
0,"--","--","Philippines","Tropical cyclone","Storm","1905-0004","21/09/1905","0","PHL","Central","21/09/1905","0","0","240"
1,"--","--","Philippines","Tropical cyclone","Storm","1912-0010","/10/1912","0","PHL","Cebu","/10/1912","0","10000","0"
2,"--","--","Philippines","Tropical cyclone","Storm","1931-0008","07/08/1931","0","PHL","West Luzon","07/08/1931","0","0","0"
3,"--","--","Philippines","Tropical cyclone","Storm","1932-0003","29/04/1932","0","PHL","Sulu","29/04/1932","2500","0","147"
4,"--","--","Philippines","Tropical cyclone","Storm","1934-0010","15/10/1934","0","PHL","Manila, Bulcan","15/10/1934","0","0","0"
5,"--","--","Philippines","Tropical cyclone","Storm","1934-0011","10/11/1934","0","PHL","Samar, Tayabas","10/11/1934","0","0","85"
6,"--","--","Philippines","Tropical cyclone","Storm","1936-0008","05/10/1936","0","PHL","Luzon","05/10/1936","0","0","517"
7,"--","--","Philippines","Tropical cyclone","Storm","1937-0007","15/11/1937","0","PHL","Leyte, Mindoro","15/11/1937","0","0","231"
8,"--","--","Philippines","Tropical cyclone","Storm","1938-0006","04/12/1938","0","PHL","Samar, South Luzon","04/12/1938","0","0","305"
9,"--","--","Philippines","Tropical cyclone","Storm","1940-0013","03/12/1940","0","PHL","Cantanduanes, Bondoc","03/12/1940","0","0","73"
10,"--","--","Philippines","Tropical cyclone","Storm","1946-0024","/11/1946","0","PHL","","/11/1946","0","0","260"
11,"--","--","Philippines","Tropical cyclone","Storm","1949-0014","31/10/1949","0","PHL","Cebu City, Negros, Panay","31/10/1949","0","0","1000"
12,"--","--","Philippines","Tropical cyclone","Storm","1951-0011","24/04/1951","0","PHL","Samar, South Luzon","24/04/1951","0","0","156"
13,"--","--","Philippines","Tropical cyclone","Storm","1951-0021","15/11/1951","0","PHL","Visayas, Bicol","15/11/1951","0","0","87"
14,"--","--","Philippines","Tropical cyclone","Storm","1951-0024","09/12/1951","0","PHL","Central","09/12/1951","60000","0","569"
15,"--","--","Philippines","Tropical cyclone","Storm","1952-0003","28/06/1952","0","PHL","Central","28/06/1952","103","0","19"
16,"--","--","Philippines","Tropical cyclone","Storm","1952-0008","16/10/1952","0","PHL","Central","16/10/1952","349","50000","995"
17,"--","--","Philippines","--","Storm","1955-0034","/01/1955","0","PHL","","/01/1955","0","0","51"
18,"--","--","Philippines","--","Storm","1955-0048","/11/1955","0","PHL","","/11/1955","0","0","93"
19,"--","--","Philippines","--","Storm","1956-0036","/07/1956","0","PHL","","/07/1956","0","0","50"
20,"--","--","Philippines","Tropical cyclone","Storm","1956-0052","/12/1956","0","PHL","","/12/1956","0","0","79"
21,"--","--","Philippines","Tropical cyclone","Storm","1957-0032","/07/1957","0","PHL","","/07/1957","0","0","89"
22,"--","--","Philippines","Tropical cyclone","Storm","1959-0049","/12/1959","0","PHL","","/12/1959","0","0","29"
23,"--","--","Philippines","Tropical cyclone","Storm","1960-0012","22/04/1960","0","PHL","South Wet of Manilla","22/04/1960","0","2000","56"
24,"--","--","Philippines","Tropical cyclone","Storm","1960-0019","24/05/1960","0","PHL","Luzon","24/05/1960","0","0","234"
25,"--","--","Philippines","Tropical cyclone","Storm","1960-0020","23/06/1960","0","PHL","South Luzon","23/06/1960","50000","0","100"
26,"--","--","Philippines","Tropical cyclone","Storm","1960-0028","03/10/1960","0","PHL","Central, South Luzon","03/10/1960","375000","0","150"
27,"--","--","Philippines","Tropical cyclone","Storm","1960-0029","08/10/1960","0","PHL","Luzon","08/10/1960","0","30000","58"
28,"--","--","Philippines","--","Storm","1960-0053","/08/1960","0","PHL","","/08/1960","0","0","33"
29,"--","--","Philippines","Tropical cyclone","Storm","1962-0029","/07/1962","0","PHL","","/07/1962","0","0","41"
